archetype,read_month,read_type_of_day,read_hh,n_puprn,elec_imp_mean,elec_imp_50th,elec_imp_75th,elec_imp_25th,elec_imp_90th,elec_imp_10th
D,aug,weekend,31,80,6.49E-05,5.65E-05,7.80E-05,4.41E-05,9.64E-05,3.35E-05
D,aug,weekend,32,80,6.91E-05,5.92E-05,8.42E-05,4.24E-05,0.000117968,3.42E-05
D,aug,weekend,33,80,6.85E-05,5.80E-05,8.03E-05,3.97E-05,0.000117262,3.17E-05
D,aug,weekend,34,80,7.41E-05,6.12E-05,9.40E-05,4.94E-05,0.000120943,3.29E-05
D,aug,weekend,35,80,8.44E-05,6.47E-05,0.000108677,4.68E-05,0.000154672,4.09E-05
D,aug,weekend,36,80,8.27E-05,7.15E-05,0.000101229,4.64E-05,0.000130592,3.75E-05
D,aug,weekend,37,80,7.33E-05,5.98E-05,8.62E-05,4.71E-05,0.000129583,3.79E-05
D,aug,weekend,38,80,6.75E-05,5.88E-05,9.14E-05,4.32E-05,0.000110266,3.61E-05
D,aug,weekend,39,80,7.05E-05,6.09E-05,9.67E-05,4.35E-05,0.000111813,3.91E-05
D,aug,weekend,40,80,6.54E-05,6.06E-05,8.21E-05,4.79E-05,0.000101269,3.46E-05
D,aug,weekend,41,80,7.01E-05,6.24E-05,9.44E-05,5.08E-05,0.000107019,3.91E-05
D,aug,weekend,42,80,7.05E-05,5.99E-05,8.66E-05,4.91E-05,0.000102417,4.12E-05
D,aug,weekend,43,80,6.90E-05,6.03E-05,8.08E-05,4.92E-05,9.73E-05,3.26E-05
D,aug,weekend,44,80,6.20E-05,5.49E-05,7.78E-05,4.45E-05,9.92E-05,3.28E-05
D,aug,weekend,45,80,5.67E-05,5.55E-05,6.36E-05,4.17E-05,8.32E-05,2.30E-05
D,aug,weekend,46,80,5.43E-05,5.39E-05,6.02E-05,4.20E-05,8.01E-05,2.51E-05
D,aug,weekend,47,80,5.07E-05,4.47E-05,6.19E-05,3.32E-05,7.64E-05,2.33E-05
D,aug,weekend,48,80,4.40E-05,4.18E-05,6.10E-05,3.00E-05,7.08E-05,2.19E-05
D,dec,weekday,1,80,4.66E-05,3.97E-05,5.89E-05,2.75E-05,7.12E-05,1.89E-05
D,dec,weekday,2,80,4.35E-05,3.76E-05,5.36E-05,2.58E-05,7.40E-05,1.83E-05
D,dec,weekday,3,80,3.96E-05,3.39E-05,4.68E-05,2.47E-05,6.55E-05,1.65E-05
D,dec,weekday,4,80,3.79E-05,3.33E-05,4.33E-05,2.51E-05,5.74E-05,1.84E-05
D,dec,weekday,5,80,3.59E-05,2.85E-05,4.18E-05,2.40E-05,4.99E-05,1.64E-05
D,dec,weekday,6,80,3.41E-05,2.85E-05,3.89E-05,2.40E-05,4.80E-05,1.61E-05
D,dec,weekday,7,80,3.34E-05,2.89E-05,3.97E-05,2.28E-05,4.77E-05,1.66E-05
D,dec,weekday,8,80,3.25E-05,2.75E-05,3.82E-05,2.30E-05,4.80E-05,1.61E-05
D,dec,weekday,9,80,3.23E-05,2.85E-05,3.71E-05,2.40E-05,4.82E-05,1.61E-05
D,dec,weekday,10,80,3.31E-05,2.89E-05,4.06E-05,2.19E-05,4.36E-05,1.82E-05
D,dec,weekday,11,80,3.49E-05,3.14E-05,4.32E-05,2.25E-05,4.81E-05,1.89E-05
D,dec,weekday,12,80,3.84E-05,3.35E-05,4.19E-05,2.37E-05,5.55E-05,1.83E-05
D,dec,weekday,13,80,4.33E-05,3.65E-05,5.24E-05,2.55E-05,6.85E-05,1.93E-05
D,dec,weekday,14,80,4.74E-05,3.79E-05,4.98E-05,2.78E-05,7.77E-05,2.32E-05
D,dec,weekday,15,80,5.31E-05,4.14E-05,5.96E-05,3.14E-05,0.000111793,2.56E-05
D,dec,weekday,16,80,5.27E-05,4.17E-05,6.73E-05,3.57E-05,7.46E-05,2.42E-05
D,dec,weekday,17,80,6.02E-05,4.42E-05,7.45E-05,3.83E-05,9.20E-05,2.63E-05
