"archetype","read_month","read_type_of_day","read_hh","n_puprn","elec_imp_mean","elec_imp_50th","elec_imp_75th","elec_imp_25th","elec_imp_90th","elec_imp_10th","month","n_days","mean.year","p50th.year","p10th.year","p25th.year","p75th.year","p90th.year","kwh.mean","kwh.50th","kwh.10th","kwh.25th","kwh.75th","kwh.90th","persona"
"D","apr","weekday",36,80,"0.0000841","0.0000674","0.0000866","0.0000496","0.000152711","0.0000417",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.180251576255,0.14445845707,0.089375632935,0.10630770728,0.18560982763,0.32730557029105,"P1"
"D","apr","weekday",37,80,"0.0000757","0.0000658","0.0000877","0.0000522","0.00011364","0.0000434",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.162247851635,0.14102917619,0.09301924387,0.11188028871,0.187967458235,0.243564674502,"P1"
"D","apr","weekday",38,80,"0.0000767","0.0000667","0.0000931","0.0000562","0.000120975","0.0000382",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.164391152185,0.142958146685,0.08187408101,0.12045349091,0.199541281205,0.25928578403625,"P1"
"D","apr","weekday",39,80,"0.0000789","0.0000707","0.0000836","0.0000548","0.000115596","0.0000476",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.169106413395,0.151531348885,0.10202110618,0.11745287014,0.17917992598,0.2477569703778,"P1"
"D","apr","weekday",40,80,"0.0000811","0.0000711","0.0000975","0.0000525","0.000126499","0.0000426",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.173821674605,0.152388669105,0.09130460343,0.112523278875,0.208971803625,0.27112537627445,"P1"
"D","apr","weekday",41,80,"0.0000796","0.0000696","0.0000918","0.0000539","0.000122497","0.0000469",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.17060672378,0.14917371828,0.100520795795,0.115523899645,0.19675499049,0.26254788747335,"P1"
"D","apr","weekday",42,80,"0.000074","0.0000642","0.0000869","0.0000548","0.000110282","0.0000454",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.1586042407,0.13759989531,0.09730584497,0.11745287014,0.186252817795,0.2363674712551,"P1"
"D","apr","weekday",43,80,"0.000069","0.0000637","0.0000783","0.0000536","0.000096","0.0000451",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.14788773795,0.136528245035,0.096662854805,0.11488090948,0.167820433065,0.2057568528,"P1"
"D","apr","weekday",44,80,"0.0000639","0.0000586","0.0000733","0.0000467","0.0000982","0.0000401",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.136956905145,0.12559741223,0.085946352055,0.100092135685,0.157103930315,0.21047211401,"P1"
"D","apr","weekday",45,80,"0.000061","0.0000581","0.0000728","0.0000428","0.0000806","0.0000378",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.13074133355,0.124525761955,0.08101676079,0.09173326354,0.15603228004,0.17275002433,"P1"
"D","apr","weekday",46,80,"0.0000546","0.0000527","0.0000639","0.0000363","0.0000818","0.000034",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.11702421003,0.112951938985,0.0728722187,0.077801809965,0.136956905145,0.17532198499,"P1"
"D","apr","weekday",47,80,"0.0000497","0.0000466","0.0000607","0.0000328","0.000076","0.0000254",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.106522037335,0.09987780563,0.05443983397,0.07030025804,0.130098343385,0.1628908418,"P1"
"D","apr","weekday",48,80,"0.0000466","0.0000421","0.0000564","0.0000317","0.0000669","0.0000217",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.09987780563,0.090232953155,0.046509621935,0.067942627435,0.12088215102,0.143386806795,"P1"
"D","apr","weekend",1,80,"0.0000456","0.0000387","0.0000562","0.0000277","0.0000691","0.0000229",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.09773450508,0.082945731285,0.049081582595,0.059369425235,0.12045349091,0.148102068005,"P1"
"D","apr","weekend",2,80,"0.0000417","0.0000337","0.0000516","0.000027","0.0000596","0.0000184",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.089375632935,0.072229228535,0.03943673012,0.05786911485,0.11059430838,0.12774071278,"P1"
"D","apr","weekend",3,80,"0.0000407","0.0000312","0.000043","0.000026","0.0000562","0.0000194",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.087232332385,0.06687097716,0.04158003067,0.0557258143,0.09216192365,0.12045349091,"P1"
"D","apr","weekend",4,80,"0.0000388","0.0000299","0.0000432","0.0000233","0.0000553","0.0000177",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.08316006134,0.064084686445,0.037936419735,0.049938902815,0.09259058376,0.118524520415,"P1"
"D","apr","weekend",5,80,"0.0000366","0.0000328","0.0000426","0.000024","0.0000584","0.0000175",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.07844480013,0.07030025804,0.037507759625,0.0514392132,0.09130460343,0.12516875212,"P1"
"D","apr","weekend",6,80,"0.0000321","0.000028","0.0000388","0.0000218","0.0000547","0.000016",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.068799947655,0.0600124154,0.0342928088,0.04672395199,0.08316006134,0.117238540085,"P1"
"D","apr","weekend",7,80,"0.0000318","0.0000281","0.0000378","0.0000222","0.0000511","0.0000153",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.06815695749,0.060226745455,0.032792498415,0.04758127221,0.08101676079,0.109522658105,"P1"
"D","apr","weekend",8,80,"0.0000302","0.0000291","0.0000358","0.0000195","0.0000487","0.0000159",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.06472767661,0.062370046005,0.034078478745,0.041794360725,0.07673015969,0.104378736785,"P1"
"D","apr","weekend",9,80,"0.0000293","0.000027","0.0000357","0.0000213","0.0000444","0.0000145",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.062798706115,0.05786911485,0.031077857975,0.045652301715,0.076515829635,0.09516254442,"P1"
"D","apr","weekend",10,80,"0.0000301","0.0000296","0.0000341","0.0000216","0.0000465","0.0000167",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.064513346555,0.06344169628,0.035793119185,0.04629529188,0.073086548755,0.099663475575,"P1"
"D","apr","weekend",11,80,"0.0000298","0.0000265","0.000035","0.0000209","0.0000408","0.000015",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.06387035639,0.056797464575,0.03214950825,0.044794981495,0.07501551925,0.08744666244,"P1"
"D","apr","weekend",12,80,"0.0000304","0.0000266","0.0000348","0.0000212","0.0000447","0.000016",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.06515633672,0.05701179463,0.0342928088,0.04543797166,0.07458685914,0.095805534585,"P1"
"D","apr","weekend",13,80,"0.0000349","0.0000292","0.0000429","0.0000236","0.0000477","0.0000161",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.074801189195,0.06258437606,0.034507138855,0.05058189298,0.091947593595,0.102235436235,"P1"
