"month","date.time","weekend","hh","price","agile_stchg"
1,"2024-01-04 08:00:00+00:00",0,8,19.194,65.12
1,"2024-01-04 08:30:00+00:00",0,8.5,21.9765,65.12
1,"2024-01-04 09:00:00+00:00",0,9,21.9765,65.12
1,"2024-01-04 09:30:00+00:00",0,9.5,22.701,65.12
1,"2024-01-04 10:00:00+00:00",0,10,21.252,65.12
1,"2024-01-04 10:30:00+00:00",0,10.5,21.9555,65.12
1,"2024-01-04 11:00:00+00:00",0,11,18.669,65.12
1,"2024-01-04 11:30:00+00:00",0,11.5,19.4145,65.12
1,"2024-01-04 12:00:00+00:00",0,12,19.32,65.12
1,"2024-01-04 12:30:00+00:00",0,12.5,19.2465,65.12
1,"2024-01-04 13:00:00+00:00",0,13,21.3465,65.12
1,"2024-01-04 13:30:00+00:00",0,13.5,19.803,65.12
1,"2024-01-04 14:00:00+00:00",0,14,22.365,65.12
1,"2024-01-04 14:30:00+00:00",0,14.5,22.407,65.12
1,"2024-01-04 15:00:00+00:00",0,15,20.5275,65.12
1,"2024-01-04 15:30:00+00:00",0,15.5,24.2025,65.12
1,"2024-01-04 16:00:00+00:00",0,16,36.183,65.12
1,"2024-01-04 16:30:00+00:00",0,16.5,40.53,65.12
1,"2024-01-04 17:00:00+00:00",0,17,37.821,65.12
1,"2024-01-04 17:30:00+00:00",0,17.5,38.577,65.12
1,"2024-01-04 18:00:00+00:00",0,18,37.128,65.12
1,"2024-01-04 18:30:00+00:00",0,18.5,34.734,65.12
1,"2024-01-04 19:00:00+00:00",0,19,25.599,65.12
1,"2024-01-04 19:30:00+00:00",0,19.5,19.5615,65.12
1,"2024-01-04 20:00:00+00:00",0,20,23.184,65.12
1,"2024-01-04 20:30:00+00:00",0,20.5,19.7085,65.12
1,"2024-01-04 21:00:00+00:00",0,21,21.861,65.12
1,"2024-01-04 21:30:00+00:00",0,21.5,19.2675,65.12
1,"2024-01-04 22:00:00+00:00",0,22,17.7765,65.12
1,"2024-01-04 22:30:00+00:00",0,22.5,15.456,65.12
1,"2024-01-04 23:00:00+00:00",0,23,17.871,65.12
1,"2024-01-04 23:30:00+00:00",0,23.5,19.3935,65.12
1,"2024-01-05 00:00:00+00:00",0,0,18.5745,65.12
1,"2024-01-05 00:30:00+00:00",0,0.5,21.9765,65.12
1,"2024-01-05 01:00:00+00:00",0,1,19.5825,65.12
1,"2024-01-05 01:30:00+00:00",0,1.5,18.711,65.12
1,"2024-01-05 02:00:00+00:00",0,2,18.1125,65.12
1,"2024-01-05 02:30:00+00:00",0,2.5,18.1125,65.12
1,"2024-01-05 03:00:00+00:00",0,3,17.6295,65.12
1,"2024-01-05 03:30:00+00:00",0,3.5,16.9785,65.12
1,"2024-01-05 04:00:00+00:00",0,4,17.514,65.12
1,"2024-01-05 04:30:00+00:00",0,4.5,16.9995,65.12
1,"2024-01-05 05:00:00+00:00",0,5,17.997,65.12
1,"2024-01-05 05:30:00+00:00",0,5.5,17.262,65.12
1,"2024-01-05 06:00:00+00:00",0,6,20.2125,65.12
1,"2024-01-05 06:30:00+00:00",0,6.5,18.1335,65.12
1,"2024-01-05 07:00:00+00:00",0,7,17.661,65.12
1,"2024-01-05 07:30:00+00:00",0,7.5,22.386,65.12
1,"2024-01-05 08:00:00+00:00",0,8,21.084,65.12
1,"2024-01-05 08:30:00+00:00",0,8.5,24.0975,65.12
1,"2024-01-05 09:00:00+00:00",0,9,22.701,65.12
1,"2024-01-05 09:30:00+00:00",0,9.5,21.735,65.12
1,"2024-01-05 10:00:00+00:00",0,10,22.7955,65.12
1,"2024-01-05 10:30:00+00:00",0,10.5,21.483,65.12
1,"2024-01-05 11:00:00+00:00",0,11,20.0445,65.12
1,"2024-01-05 11:30:00+00:00",0,11.5,20.0445,65.12
1,"2024-01-05 12:00:00+00:00",0,12,19.8975,65.12
1,"2024-01-05 12:30:00+00:00",0,12.5,19.5405,65.12
1,"2024-01-05 13:00:00+00:00",0,13,20.097,65.12
1,"2024-01-05 13:30:00+00:00",0,13.5,20.0445,65.12
1,"2024-01-05 14:00:00+00:00",0,14,21.6825,65.12
1,"2024-01-05 14:30:00+00:00",0,14.5,21.0315,65.12
1,"2024-01-05 15:00:00+00:00",0,15,20.769,65.12
1,"2024-01-05 15:30:00+00:00",0,15.5,22.911,65.12
1,"2024-01-05 16:00:00+00:00",0,16,31.038,65.12
1,"2024-01-05 16:30:00+00:00",0,16.5,36.9075,65.12
1,"2024-01-05 17:00:00+00:00",0,17,34.923,65.12
1,"2024-01-05 17:30:00+00:00",0,17.5,36.2355,65.12
1,"2024-01-05 18:00:00+00:00",0,18,35.7,65.12
1,"2024-01-05 18:30:00+00:00",0,18.5,33.453,65.12
1,"2024-01-05 19:00:00+00:00",0,19,22.9215,65.12
1,"2024-01-05 19:30:00+00:00",0,19.5,20.0655,65.12
1,"2024-01-05 20:00:00+00:00",0,20,20.3595,65.12
1,"2024-01-05 20:30:00+00:00",0,20.5,20.412,65.12
1,"2024-01-05 21:00:00+00:00",0,21,20.5275,65.12
1,"2024-01-05 21:30:00+00:00",0,21.5,20.5275,65.12
1,"2024-01-05 22:00:00+00:00",0,22,20.5275,65.12
1,"2024-01-05 22:30:00+00:00",0,22.5,17.094,65.12
1,"2024-01-05 23:00:00+00:00",0,23,18.1125,65.12
1,"2024-01-05 23:30:00+00:00",0,23.5,20.0445,65.12
1,"2024-01-06 00:00:00+00:00",1,0,20.643,65.12
1,"2024-01-06 00:30:00+00:00",1,0.5,26.1765,65.12
1,"2024-01-06 01:00:00+00:00",1,1,22.9425,65.12
1,"2024-01-06 01:30:00+00:00",1,1.5,19.0785,65.12
1,"2024-01-06 02:00:00+00:00",1,2,18.69,65.12
1,"2024-01-06 02:30:00+00:00",1,2.5,18.6165,65.12
1,"2024-01-06 03:00:00+00:00",1,3,17.7765,65.12
1,"2024-01-06 03:30:00+00:00",1,3.5,17.7765,65.12
1,"2024-01-06 04:00:00+00:00",1,4,17.7765,65.12
1,"2024-01-06 04:30:00+00:00",1,4.5,17.7765,65.12
1,"2024-01-06 05:00:00+00:00",1,5,17.7765,65.12
1,"2024-01-06 05:30:00+00:00",1,5.5,17.703,65.12
1,"2024-01-06 06:00:00+00:00",1,6,18.0915,65.12
1,"2024-01-06 06:30:00+00:00",1,6.5,17.7765,65.12
1,"2024-01-06 07:00:00+00:00",1,7,19.0785,65.12
1,"2024-01-06 07:30:00+00:00",1,7.5,20.475,65.12
1,"2024-01-06 08:00:00+00:00",1,8,19.5615,65.12
1,"2024-01-06 08:30:00+00:00",1,8.5,20.643,65.12
1,"2024-01-06 09:00:00+00:00",1,9,19.488,65.12
1,"2024-01-06 09:30:00+00:00",1,9.5,21.588,65.12
1,"2024-01-06 10:00:00+00:00",1,10,21.252,65.12
1,"2024-01-06 10:30:00+00:00",1,10.5,21.0105,65.12
1,"2024-01-06 11:00:00+00:00",1,11,20.958,65.12
1,"2024-01-06 11:30:00+00:00",1,11.5,23.184,65.12
1,"2024-01-06 12:00:00+00:00",1,12,21.1575,65.12
1,"2024-01-06 12:30:00+00:00",1,12.5,21.3465,65.12
1,"2024-01-06 13:00:00+00:00",1,13,22.701,65.12
1,"2024-01-06 13:30:00+00:00",1,13.5,17.892,65.12
1,"2024-01-06 14:00:00+00:00",1,14,19.803,65.12
1,"2024-01-06 14:30:00+00:00",1,14.5,18.354,65.12
1,"2024-01-06 15:00:00+00:00",1,15,20.0445,65.12
1,"2024-01-06 15:30:00+00:00",1,15.5,23.5935,65.12
1,"2024-01-06 16:00:00+00:00",1,16,31.4895,65.12
1,"2024-01-06 16:30:00+00:00",1,16.5,39.3225,65.12
1,"2024-01-06 17:00:00+00:00",1,17,36.9075,65.12
1,"2024-01-06 17:30:00+00:00",1,17.5,36.666,65.12
1,"2024-01-06 18:00:00+00:00",1,18,39.3225,65.12
1,"2024-01-06 18:30:00+00:00",1,18.5,34.4925,65.12
1,"2024-01-06 19:00:00+00:00",1,19,24.822,65.12
1,"2024-01-06 19:30:00+00:00",1,19.5,19.3725,65.12
1,"2024-01-06 20:00:00+00:00",1,20,23.9085,65.12
1,"2024-01-06 20:30:00+00:00",1,20.5,19.803,65.12
1,"2024-01-06 21:00:00+00:00",1,21,23.4045,65.12
1,"2024-01-06 21:30:00+00:00",1,21.5,20.0445,65.12
1,"2024-01-06 22:00:00+00:00",1,22,22.9425,65.12
1,"2024-01-06 22:30:00+00:00",1,22.5,18.354,65.12
1,"2024-01-06 23:00:00+00:00",1,23,17.388,65.12
1,"2024-01-06 23:30:00+00:00",1,23.5,20.307,65.12
1,"2024-01-07 00:00:00+00:00",1,0,17.031,65.12
1,"2024-01-07 00:30:00+00:00",1,0.5,21.735,65.12
1,"2024-01-07 01:00:00+00:00",1,1,21.063,65.12
1,"2024-01-07 01:30:00+00:00",1,1.5,19.32,65.12
1,"2024-01-07 02:00:00+00:00",1,2,17.9655,65.12
1,"2024-01-07 02:30:00+00:00",1,2.5,16.905,65.12
1,"2024-01-07 03:00:00+00:00",1,3,17.6505,65.12
1,"2024-01-07 03:30:00+00:00",1,3.5,16.905,65.12
1,"2024-01-07 04:00:00+00:00",1,4,17.031,65.12
1,"2024-01-07 04:30:00+00:00",1,4.5,15.435,65.12
1,"2024-01-07 05:00:00+00:00",1,5,17.724,65.12
1,"2024-01-07 05:30:00+00:00",1,5.5,16.884,65.12
1,"2024-01-07 06:00:00+00:00",1,6,18.354,65.12
1,"2024-01-07 06:30:00+00:00",1,6.5,17.724,65.12
1,"2024-01-07 07:00:00+00:00",1,7,19.5825,65.12
1,"2024-01-07 07:30:00+00:00",1,7.5,19.8975,65.12
1,"2024-01-07 08:00:00+00:00",1,8,20.5275,65.12
1,"2024-01-07 08:30:00+00:00",1,8.5,21.735,65.12
1,"2024-01-07 09:00:00+00:00",1,9,19.2675,65.12
1,"2024-01-07 09:30:00+00:00",1,9.5,20.286,65.12
1,"2024-01-07 10:00:00+00:00",1,10,20.475,65.12
1,"2024-01-07 10:30:00+00:00",1,10.5,19.803,65.12
1,"2024-01-07 11:00:00+00:00",1,11,18.543,65.12
1,"2024-01-07 11:30:00+00:00",1,11.5,20.5485,65.12
1,"2024-01-07 12:00:00+00:00",1,12,22.7955,65.12
1,"2024-01-07 12:30:00+00:00",1,12.5,22.344,65.12
1,"2024-01-07 13:00:00+00:00",1,13,25.116,65.12
1,"2024-01-07 13:30:00+00:00",1,13.5,22.218,65.12
1,"2024-01-07 14:00:00+00:00",1,14,22.701,65.12
1,"2024-01-07 14:30:00+00:00",1,14.5,18.837,65.12
1,"2024-01-07 15:00:00+00:00",1,15,21.3255,65.12
1,"2024-01-07 15:30:00+00:00",1,15.5,23.541,65.12
1,"2024-01-07 16:00:00+00:00",1,16,35.7,65.12
1,"2024-01-07 16:30:00+00:00",1,16.5,37.632,65.12
1,"2024-01-07 17:00:00+00:00",1,17,37.443,65.12
1,"2024-01-07 17:30:00+00:00",1,17.5,36.5925,65.12
1,"2024-01-07 18:00:00+00:00",1,18,36.2565,65.12
1,"2024-01-07 18:30:00+00:00",1,18.5,34.9755,65.12
1,"2024-01-07 19:00:00+00:00",1,19,24.0555,65.12
1,"2024-01-07 19:30:00+00:00",1,19.5,20.5275,65.12
1,"2024-01-07 20:00:00+00:00",1,20,20.475,65.12
1,"2024-01-07 20:30:00+00:00",1,20.5,21.5145,65.12
1,"2024-01-07 21:00:00+00:00",1,21,22.092,65.12
1,"2024-01-07 21:30:00+00:00",1,21.5,19.341,65.12
1,"2024-01-07 22:00:00+00:00",1,22,18.6165,65.12
1,"2024-01-07 22:30:00+00:00",1,22.5,18.1335,65.12
1,"2024-01-07 23:00:00+00:00",1,23,20.286,65.12
1,"2024-01-07 23:30:00+00:00",1,23.5,19.0785,65.12
1,"2024-01-08 00:00:00+00:00",0,0,17.4825,65.12
1,"2024-01-08 00:30:00+00:00",0,0.5,21.8085,65.12
1,"2024-01-08 01:00:00+00:00",0,1,18.711,65.12
1,"2024-01-08 01:30:00+00:00",0,1.5,19.7085,65.12
1,"2024-01-08 02:00:00+00:00",0,2,19.635,65.12
1,"2024-01-08 02:30:00+00:00",0,2.5,18.1125,65.12
1,"2024-01-08 03:00:00+00:00",0,3,18.5955,65.12
1,"2024-01-08 03:30:00+00:00",0,3.5,17.556,65.12
1,"2024-01-08 04:00:00+00:00",0,4,19.341,65.12
1,"2024-01-08 04:30:00+00:00",0,4.5,17.094,65.12
1,"2024-01-08 05:00:00+00:00",0,5,19.32,65.12
1,"2024-01-08 05:30:00+00:00",0,5.5,17.388,65.12
1,"2024-01-08 06:00:00+00:00",0,6,21.8295,65.12
1,"2024-01-08 06:30:00+00:00",0,6.5,20.0655,65.12
1,"2024-01-08 07:00:00+00:00",0,7,20.8635,65.12
1,"2024-01-08 07:30:00+00:00",0,7.5,25.242,65.12
1,"2024-01-08 08:00:00+00:00",0,8,22.218,65.12
1,"2024-01-08 08:30:00+00:00",0,8.5,23.667,65.12
1,"2024-01-08 09:00:00+00:00",0,9,22.7535,65.12
1,"2024-01-08 09:30:00+00:00",0,9.5,22.218,65.12
1,"2024-01-08 10:00:00+00:00",0,10,21.735,65.12
1,"2024-01-08 10:30:00+00:00",0,10.5,21.126,65.12
1,"2024-01-08 11:00:00+00:00",0,11,19.383,65.12
1,"2024-01-08 11:30:00+00:00",0,11.5,19.4985,65.12
1,"2024-01-08 12:00:00+00:00",0,12,20.5275,65.12
1,"2024-01-08 12:30:00+00:00",0,12.5,19.929,65.12
1,"2024-01-08 13:00:00+00:00",0,13,21.546,65.12
1,"2024-01-08 13:30:00+00:00",0,13.5,20.475,65.12
1,"2024-01-08 14:00:00+00:00",0,14,22.239,65.12
1,"2024-01-08 14:30:00+00:00",0,14.5,21.273,65.12
1,"2024-01-08 15:00:00+00:00",0,15,24.15,65.12
1,"2024-01-08 15:30:00+00:00",0,15.5,25.3575,65.12
1,"2024-01-08 16:00:00+00:00",0,16,37.443,65.12
1,"2024-01-08 16:30:00+00:00",0,16.5,40.53,65.12
1,"2024-01-08 17:00:00+00:00",0,17,37.149,65.12
1,"2024-01-08 17:30:00+00:00",0,17.5,37.3905,65.12
1,"2024-01-08 18:00:00+00:00",0,18,37.632,65.12
1,"2024-01-08 18:30:00+00:00",0,18.5,35.1225,65.12
1,"2024-01-08 19:00:00+00:00",0,19,23.184,65.12
1,"2024-01-08 19:30:00+00:00",0,19.5,20.475,65.12
1,"2024-01-08 20:00:00+00:00",0,20,20.517,65.12
1,"2024-01-08 20:30:00+00:00",0,20.5,21.4935,65.12
