"win.start","month","window","weekend","flex.oct_unit","flex.oct_stand","agile.in_unit","agile.in_stand","flux.import_unit","flux.import_stand","intel.flux.import_unit","intel.flux.import_stand","cosy_unit","cosy_stand","go_unit","go_stand","PAYG_unit","PAYG_stand","flex.PAYG_unit","flex.PAYG_stand","SEG_unit","agile.out_unit","flux.out_unit","intel.flux.out_unit","snug_unit","snug_stand","intelligent_go_unit","intelligent_go_stand","oev_intelligent_go_unit","oev_intelligent_go_stand","oct.fix.jan24_unit","oct.fix.jan24_stand","oct.e7.fix.jan24_unit","oct.e7.fix.jan24_stand","oct.e7.fix.nov24_unit","oct.e7.fix.nov24_stand","oct.fix.oct24_unit","oct.fix.oct24_stand","oct.fix.jul24_unit","oct.fix.jul24_stand"
2024-01-01 13:00:00,1,13,0,"29.16585","56.62650","18.1860","50.9985","28.42455","56.6265","25.58209","56.6265","17.05473","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 7.83","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 13:30:00,1,13.5,0,"29.16585","56.62650","19.3200","50.9985","28.42455","56.6265","25.58209","56.6265","17.05473","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 8.27","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 14:00:00,1,14,0,"29.16585","56.62650","16.6110","50.9985","28.42455","56.6265","25.58209","56.6265","17.05473","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 7.23","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 14:30:00,1,14.5,0,"29.16585","56.62650","17.8710","50.9985","28.42455","56.6265","25.58209","56.6265","17.05473","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 7.71","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 15:00:00,1,15,0,"29.16585","56.62650","14.4900","50.9985","28.42455","56.6265","25.58209","56.6265","17.05473","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 6.41","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 15:30:00,1,15.5,0,"29.16585","56.62650","19.3200","50.9985","28.42455","56.6265","25.58209","56.6265","17.05473","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 8.27","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 16:00:00,1,16,0,"29.16585","56.62650","32.0250","50.9985","39.79437","56.6265","34.10946","56.6265","45.47928","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1,"15.86","28.7944","34.1095",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 16:30:00,1,16.5,0,"29.16585","56.62650","34.7340","50.9985","39.79437","56.6265","34.10946","56.6265","45.47928","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1,"16.90","28.7944","34.1095",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 17:00:00,1,17,0,"29.16585","56.62650","34.7340","50.9985","39.79437","56.6265","34.10946","56.6265","45.47928","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1,"16.90","28.7944","34.1095",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 17:30:00,1,17.5,0,"29.16585","56.62650","32.3190","50.9985","39.79437","56.6265","34.10946","56.6265","45.47928","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1,"15.97","28.7944","34.1095",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
